,index,title,authors,average_rating,isbn13,language_code,num_pages,categories,description,published_year,new_categories,lower_title,combined_features
0,0,A Short History of Nearly Everything,Bill Bryson,4.21,9780767908184,eng,544.0,Science,"The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing.",2004.0,Science,a short history of nearly everything,"a short history of nearly everything,Bill Bryson,Science,The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing."
1,4,Bill Bryson's African Diary,Bill Bryson,3.44,9780767915069,eng,55.0,Biography & Autobiography,"A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects.",2002.0,Biography & Autobiography,bill bryson's african diary,"bill bryson's african diary,Bill Bryson,Biography & Autobiography,A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects."
2,6,In a Sunburned Country,Bill Bryson,4.07,9780767903868,eng,335.0,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes.,2001.0,True Crime,in a sunburned country,"in a sunburned country,Bill Bryson,True Crime,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes."
3,7,Notes from a Small Island,Bill Bryson,3.91,9780380727506,eng,324.0,Travel,"""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile.",1997.0,Travel,notes from a small island,"notes from a small island,Bill Bryson,Travel,""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestsellingauthor of The Mother Tongue and Made in America-decided to returnto the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another,so it was clear that my people needed me."") But before departing, he set out ona grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile. ""Suddenly, in the space of a moment, I realized what it was that I loved about Britain-which is to say, all of it."" After nearly two decades spent on British soil, Bill Bryson-bestselling author of ,i>The Mother Tongue and Made in America-decided to return to the United States. (""I had recently read,"" Bryson writes, ""that 3.7 million Americans believed that they had been abducted by aliens at one time or another, so it was clear that my people needed me."") But before departing, he set out on a grand farewell tour of the green and kindly island that had so long been his home. Veering from the ludicrous to the endearing and back again, Notes from a Small Island is a delightfully irreverent jaunt around the unparalleled floating nation that has produced zebra crossings, Shakespeare, Twiggie Winkie's Farm, and places with names like Farleigh Wallop and Titsey. The result is an uproarious social commentary that conveys the true glory of Britain, from the satiric pen of an unapologetic Anglophile."
4,8,The Changeling,Zilpha Keatley Snyder,4.17,9780595321803,eng,369.0,Fiction,FICTION-ROMANCE/GOTHIC,1990.0,Fiction,the changeling,"the changeling,Zilpha Keatley Snyder,Fiction,FICTION-ROMANCE/GOTHIC"
5,14,The Known World,Edward P. Jones,3.83,9780061159176,eng,388.0,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities.,2004.0,African American plantation owners,the known world,"the known world,Edward P. Jones,African American plantation owners,An epic narrative that takes a look at slavery in all of its moral complexities."
6,22,Uncommon Carriers,John McPhee,3.95,9780374280390,en-US,248.0,Literary Collections,"McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl",2006.0,Literary Collections,uncommon carriers,"uncommon carriers,John McPhee,Literary Collections,McPhee's books are about real people in real places. Over the past eight years, McPhee has spent considerable time in the company of people who work in freight transportation. This is his sketchbook of them and of his journeys with them. He rides from Atl"
7,23,Heirs of General Practice,John McPhee,4.17,9780374519742,eng,128.0,Biography & Autobiography,"Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients",1986.0,Biography & Autobiography,heirs of general practice,"heirs of general practice,John McPhee,Biography & Autobiography,Tells the stories of recently graduated doctors who are following the new medical specialty of family practice, and describes their interactions with their patients"
8,24,The Control of Nature,John McPhee,4.24,9780374522599,en-US,288.0,Nature,"The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters.",1990.0,Nature,the control of nature,"the control of nature,John McPhee,Nature,The Control of Nature is John McPhee's bestselling account of places where people are locked in combat with nature. Taking us deep into these contested territories, McPhee details the strageties and tactics through which people attempt to control nature. Most striking is his depiction of the main contestants: nature in complex and awesome guises, and those attempting to wrest control from her - stubborn, sometimes foolhardy, more often ingenious, and always arresting characters."
9,25,Coming Into the Country,John McPhee,4.22,9780374522872,eng,448.0,Nature,"An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska",1991.0,Nature,coming into the country,"coming into the country,John McPhee,Nature,An account of a kayak and canoe journey through the Brooks Range wilderness, impressions of urban life and political activity, and portraits of people in the bush make up a study of contemporary Alaska"
